#
# Output is generated by GenSAS 7.x-5.0
#
#name     : mRNA
#start    : Start of alignment in subject
#end      : End of alignment in subject
#m_start  : Start of alignment in query
#m_end    : End of alignment in query
#al       : Alignment length
#score    : Row score of the match
#evalue   : E value of the match
#identity : Percentage of identical matches
name	start	end	score	Accession	Match ID	m_start	m_end	E-value	identity	al
32225-Vv.00g000010.m01	204	244	166	Q805H7	sp|Q805H7|C23L_VACCW	1	37	2.49e-15	90.244	41
32225-Vv.00g000020.m01	1	115	385	P21090	sp|P21090|C23L_VACCC	1	106	2.92e-46	83.478	115
32225-Vv.00g000030.m01	97	225	418	O73559	sp|O73559|CRMB_CWPXG	30	145	1.03e-49	84.496	129
32225-Vv.00g000050.m01	1	41	179	P21102	sp|P21102|VC18_VACCC	1	37	8.39e-18	87.805	41
32225-Vv.00g000060.m01	296	378	361	O73579	sp|O73579|VD4L_CWPXG	1	77	2.98e-40	86.747	83
32225-Vv.00g000070.m01	81	268	715	P21101	sp|P21101|VC17_VACCC	1	168	1.11e-93	87.766	188
32225-Vv.00g000080.m01	1	66	336	P17358	sp|P17358|V016_VACCW	1	66	4.49e-42	100.000	66
32225-Vv.00g000090.m01	1	71	370	P17359	sp|P17359|V017_VACCW	1	71	2.40e-47	100.000	71
32225-Vv.00g000100.m01	472	634	849	P21042	sp|P21042|C9L_VACCC	1	163	5.40e-111	100.000	163
32225-Vv.00g000110.m01	328	407	335	P21042	sp|P21042|C9L_VACCC	1	80	8.72e-37	100.000	80
32225-Vv.00g000120.m01	1	294	1251	P17372	sp|P17372|C9L_VACCW	1	294	2.80e-169	98.980	294
32225-Vv.00g000130.m01	1	184	900	P21041	sp|P21041|C8_VACCC	1	177	1.17e-124	94.565	184
32225-Vv.00g000140.m01	1	150	775	P68600	sp|P68600|C7_VACCW	1	150	1.56e-106	100.000	150
32225-Vv.00g000160.m01	1	151	779	P21040	sp|P21040|C6_VACCC	1	151	4.57e-107	100.000	151
32225-Vv.00g000170.m01	1	102	471	P21054	sp|P21054|N1_VACCC	1	102	2.15e-61	90.196	102
32225-Vv.00g000180.m01	1	175	867	P14357	sp|P14357|N2_VACCW	1	170	6.30e-120	94.857	175
32225-Vv.00g000190.m01	1	88	390	P04297	sp|P04297|K1_VACCW	1	88	4.48e-47	100.000	88
32225-Vv.00g000200.m01	1	369	1975	Q85339	sp|Q85339|SPI3_VACCA	1	369	0.0	100.000	369
32225-Vv.00g000210.m01	1	88	452	P20639	sp|P20639|K3_VACCC	1	88	2.39e-59	98.864	88
32225-Vv.00g000220.m01	1	424	2267	P20537	sp|P20537|K4_VACCC	1	424	0.0	99.764	424
32225-Vv.00g000230.m01	1	108	560	P21084	sp|P21084|K5_VACCC	1	108	1.24e-73	99.074	108
32225-Vv.00g000240.m01	19	81	326	P68464	sp|P68464|K6_VACCW	2	64	1.26e-40	100.000	63
32225-Vv.00g000250.m01	1	149	773	P68466	sp|P68466|K7_VACCW	1	149	2.58e-106	100.000	149
32225-Vv.00g000260.m01	4	222	1144	O57173	sp|O57173|F1_VACCA	1	219	1.39e-160	100.000	219
32225-Vv.00g000270.m01	1	147	694	P68635	sp|P68635|DUT_VACCP	1	147	2.90e-94	100.000	147
32225-Vv.00g000280.m01	1	476	2440	O57174	sp|O57174|F3_VACCA	1	476	0.0	100.000	476
32225-Vv.00g000290.m01	1	319	1642	O57175	sp|O57175|RIR2_VACCA	1	319	0.0	100.000	319
32225-Vv.00g000300.m01	1	68	344	P68602	sp|P68602|F6_VACCP	1	68	3.77e-43	100.000	68
32225-Vv.00g000310.m01	1	80	418	P24359	sp|P24359|F7_VACCW	1	80	2.05e-54	100.000	80
32225-Vv.00g000320.m01	1	65	245	P21017	sp|P21017|F8_VACCC	1	65	2.14e-28	96.923	65
32225-Vv.00g000330.m01	1	212	1122	P68453	sp|P68453|F9_VACCP	1	212	2.10e-157	100.000	212
32225-Vv.00g000340.m01	1	439	2272	O57177	sp|O57177|VPK2_VACCA	1	439	0.0	100.000	439
32225-Vv.00g000350.m01	197	348	631	Q80HX7	sp|Q80HX7|F11_VACCW	1	147	6.84e-82	94.737	152
32225-Vv.00g000360.m01	1	95	497	P21052	sp|P21052|F11_VACCC	1	95	2.21e-62	100.000	95
32225-Vv.00g000370.m01	1	635	3116	O57178	sp|O57178|F12_VACCA	1	635	0.0	100.000	635
32225-Vv.00g000380.m01	1	372	1988	O57179	sp|O57179|F13_VACCA	1	372	0.0	100.000	372
32225-Vv.00g000390.m01	1	73	268	P68707	sp|P68707|F14_VACCW	1	73	1.15e-31	100.000	73
32225-Vv.00g000410.m01	1	158	700	P21020	sp|P21020|F15_VACCC	1	158	6.95e-95	99.367	158
32225-Vv.00g000420.m01	1	231	1122	Q80HX3	sp|Q80HX3|F16_VACCW	1	231	8.01e-157	99.567	231
32225-Vv.00g000430.m01	1	100	422	P68455	sp|P68455|F17_VACCT	1	100	2.51e-54	100.000	100
32225-Vv.00g000440.m01	1	479	2515	O57184	sp|O57184|PAP1_VACCA	1	479	0.0	100.000	479
32225-Vv.00g000450.m01	1	737	3860	P21604	sp|P21604|E2_VACCW	1	737	0.0	99.593	737
32225-Vv.00g000460.m01	1	190	910	P21081	sp|P21081|E3_VACCC	1	190	6.70e-126	98.421	190
32225-Vv.00g000470.m01	1	259	1255	O57187	sp|O57187|RPO5_VACCA	1	259	3.31e-176	100.000	259
32225-Vv.00g000480.m01	25	341	1688	P21046	sp|P21046|E5_VACCC	1	317	0.0	99.369	317
32225-Vv.00g000490.m01	1	567	2800	P21047	sp|P21047|E6_VACCC	1	567	0.0	99.824	567
32225-Vv.00g000500.m01	1	166	828	P68446	sp|P68446|E7_VACCW	1	166	4.46e-114	100.000	166
32225-Vv.00g000510.m01	1	273	1429	P21049	sp|P21049|E8_VACCC	1	273	0.0	99.634	273
32225-Vv.00g000520.m01	1	1006	5159	O57191	sp|O57191|DPOL_VACCA	1	1006	0.0	100.000	1006
32225-Vv.00g000530.m01	1	95	506	P23373	sp|P23373|E10_VACCW	1	95	2.38e-67	100.000	95
32225-Vv.00g000540.m01	1	129	666	P68448	sp|P68448|E11_VACCW	1	129	1.47e-90	100.000	129
32225-Vv.00g000550.m01	515	666	631	P21093	sp|P21093|O1_VACCC	1	152	2.31e-78	99.342	152
32225-Vv.00g000560.m01	1	400	2000	P21093	sp|P21093|O1_VACCC	1	400	0.0	99.750	400
32225-Vv.00g000570.m01	1	108	566	P68690	sp|P68690|GLRX1_VACCC	1	108	5.33e-76	100.000	108
32225-Vv.00g000580.m01	1	312	1380	O93117	sp|O93117|I1_VACCA	1	312	0.0	100.000	312
32225-Vv.00g000590.m01	1	50	258	P68606	sp|P68606|I2_VACCW	1	50	3.19e-30	100.000	50
32225-Vv.00g000600.m01	1	269	1311	P12923	sp|P12923|I3_VACCW	1	269	0.0	99.257	269
32225-Vv.00g000610.m01	1	771	3951	P20503	sp|P20503|RIR1_VACCC	1	771	0.0	100.000	771
