#
# Output is generated by GenSAS 7.x-5.0
#
#IPR Term           : Corresponding InterPro entry.
#IPR Description    : Description of the InterPro entry.
#Source             : Name of the source database.
#Source Term        : Database members entry.
#Source Description : Database member description for the entry.
Name	IPR Term	IPR Description	Source	Source Term	Source Description	GO
32225-Vv.00g000010.m01	IPR003184	Major secreted virus protein, 35kDa	PFAM	PF02250	Orthopox_35kD	
32225-Vv.00g000010.m01	IPR036540	Poxvirus chemokine inhibitor superfamily	GENE3D	G3DSA:2.60.240.10		
32225-Vv.00g000010.m01	IPR036540	Poxvirus chemokine inhibitor superfamily	SUPERFAMILY	SSF49889	Soluble secreted chemokine inhibitor, VCCI	
32225-Vv.00g000020.m01	IPR036540	Poxvirus chemokine inhibitor superfamily	GENE3D	G3DSA:2.60.240.10		
32225-Vv.00g000020.m01	IPR036540	Poxvirus chemokine inhibitor superfamily	SUPERFAMILY	SSF49889	Soluble secreted chemokine inhibitor, VCCI	
32225-Vv.00g000020.m01	IPR003184	Major secreted virus protein, 35kDa	PFAM	PF02250	Orthopox_35kD	
32225-Vv.00g000030.m01	IPR010806	Poxvirus, TNF receptor-II, C-terminal	PFAM	PF07190	DUF1406	
32225-Vv.00g000030.m01	noIPR		GENE3D	G3DSA:2.60.240.20		
32225-Vv.00g000030.m01	noIPR		GENE3D	G3DSA:3.10.360.30		
32225-Vv.00g000030.m01	noIPR		SUPERFAMILY	SSF57586	TNF receptor-like	
32225-Vv.00g000090.m01	IPR036770	Ankyrin repeat-containing domain superfamily	GENE3D	G3DSA:1.25.40.20		
32225-Vv.00g000120.m01	IPR002110	Ankyrin repeat	SMART	SM00248	ANK_2a	GO:0005515
32225-Vv.00g000120.m01	IPR036770	Ankyrin repeat-containing domain superfamily	SUPERFAMILY	SSF48403	Ankyrin repeat	GO:0005515
32225-Vv.00g000130.m01	IPR010806	Poxvirus, TNF receptor-II, C-terminal	PFAM	PF07190	DUF1406	
32225-Vv.00g000130.m01	IPR009176	Vaccinia virus, B7/C8	PIRSF	PIRSF003778	VAC_C8L	
32225-Vv.00g000130.m01	IPR009176	Vaccinia virus, B7/C8	PRODOM	PD578475		
32225-Vv.00g000140.m01	IPR004967	Poxvirus C7/F8A	PIRSF	PIRSF003779	VAC_C7L	GO:0016032
32225-Vv.00g000140.m01	IPR004967	Poxvirus C7/F8A	PFAM	PF03287	Pox_C7_F8A	GO:0016032
32225-Vv.00g000160.m01	noIPR		GENE3D	G3DSA:1.10.437.20		
32225-Vv.00g000160.m01	IPR022819	Poxvirus	PFAM	PF06227	Poxvirus	
32225-Vv.00g000170.m01	IPR022819	Poxvirus	PFAM	PF06227	Poxvirus	
32225-Vv.00g000170.m01	IPR009353	Orthopoxvirus N1	PIRSF	PIRSF003784	VAC_N1L	
32225-Vv.00g000170.m01	IPR009353	Orthopoxvirus N1	PRODOM	PD015763		
32225-Vv.00g000170.m01	noIPR		GENE3D	G3DSA:1.10.437.20		
32225-Vv.00g000180.m01	IPR022819	Poxvirus	PFAM	PF06227	Poxvirus	
32225-Vv.00g000190.m01	IPR002110	Ankyrin repeat	SMART	SM00248	ANK_2a	GO:0005515
32225-Vv.00g000190.m01	IPR036770	Ankyrin repeat-containing domain superfamily	GENE3D	G3DSA:1.25.40.20		GO:0005515
32225-Vv.00g000190.m01	IPR036770	Ankyrin repeat-containing domain superfamily	SUPERFAMILY	SSF48403	Ankyrin repeat	GO:0005515
32225-Vv.00g000190.m01	IPR020683	Ankyrin repeat-containing domain	PFAM	PF12796	Ank_2	GO:0005515
32225-Vv.00g000200.m01	IPR023796	Serpin domain	SMART	SM00093	serpin2	GO:0005615
32225-Vv.00g000200.m01	IPR023796	Serpin domain	PFAM	PF00079	Serpin	GO:0005615
32225-Vv.00g000200.m01	noIPR		GENE3D	G3DSA:3.30.497.10		GO:0005615
32225-Vv.00g000200.m01	noIPR		GENE3D	G3DSA:2.30.39.10		GO:0005615
32225-Vv.00g000200.m01	IPR000215	Serpin family	PANTHER	PTHR11461	SERINE PROTEASE INHIBITOR, SERPIN	GO:0005615
32225-Vv.00g000200.m01	IPR036186	Serpin superfamily	SUPERFAMILY	SSF56574	Serpins	GO:0005615
32225-Vv.00g000210.m01	IPR022967	RNA-binding domain, S1	SMART	SM00316	S1_6	GO:0003676, GO:0030414
32225-Vv.00g000210.m01	noIPR		GENE3D	G3DSA:2.40.50.140		GO:0003676, GO:0030414
32225-Vv.00g000210.m01	IPR003029	S1 domain	PFAM	PF00575	S1	GO:0003676, GO:0030414
32225-Vv.00g000210.m01	IPR016397	Serpin, predicted, poxvirus	PIRSF	PIRSF003760	VAC_K3L_Serpin	GO:0003676, GO:0030414
32225-Vv.00g000210.m01	IPR012340	Nucleic acid-binding, OB-fold	SUPERFAMILY	SSF50249	Nucleic acid-binding proteins	GO:0003676, GO:0030414
32225-Vv.00g000220.m01	IPR001736	Phospholipase D/Transphosphatidylase	SMART	SM00155	pld_4	GO:0003824
32225-Vv.00g000220.m01	IPR001736	Phospholipase D/Transphosphatidylase	PFAM	PF00614	PLDc	GO:0003824
32225-Vv.00g000220.m01	IPR032803	PLD-like domain	PFAM	PF13918	PLDc_3	GO:0003824
32225-Vv.00g000220.m01	noIPR		GENE3D	G3DSA:3.30.870.10		GO:0003824
32225-Vv.00g000220.m01	noIPR		GENE3D	G3DSA:3.30.870.10		GO:0003824
32225-Vv.00g000220.m01	noIPR		PANTHER	PTHR10185:SF16	PHOSPHOLIPASE D3	GO:0003824
32225-Vv.00g000220.m01	noIPR		PANTHER	PTHR10185	PHOSPHOLIPASE D - RELATED	GO:0003824
32225-Vv.00g000220.m01	noIPR		SUPERFAMILY	SSF56024	Phospholipase D/nuclease	GO:0003824
32225-Vv.00g000220.m01	noIPR		SUPERFAMILY	SSF56024	Phospholipase D/nuclease	GO:0003824
32225-Vv.00g000230.m01	IPR029058	Alpha/Beta hydrolase fold	GENE3D	G3DSA:3.40.50.1820		
32225-Vv.00g000230.m01	IPR029058	Alpha/Beta hydrolase fold	SUPERFAMILY	SSF53474	alpha/beta-Hydrolases	
32225-Vv.00g000230.m01	IPR022742	Serine aminopeptidase, S33	PFAM	PF12146	Hydrolase_4	
